timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1621218375651,52,Petición HTTP-3,200,OK,Pruebas UAGRO 1-51,text,true,,3929,140,170,170,https://www.pruebavotaciones.uagro.mx/registro/,52,0,0
1621218371174,4598,Petición HTTP,200,OK,Pruebas UAGRO 1-71,text,true,,5406,541,172,172,https://www.pruebavotaciones.uagro.mx/registro/,3983,0,60
1621218371174,3983,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-71,text,true,,616,131,172,172,http://www.pruebavotaciones.uagro.mx/,3983,0,60
1621218375158,511,Petición HTTP-1,302,Found,Pruebas UAGRO 1-71,text,true,,227,131,172,172,https://www.pruebavotaciones.uagro.mx/,511,0,461
1621218375669,51,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-71,text,true,,634,139,172,172,https://www.pruebavotaciones.uagro.mx/registro,51,0,0
1621218375720,52,Petición HTTP-3,200,OK,Pruebas UAGRO 1-71,text,true,,3929,140,172,172,https://www.pruebavotaciones.uagro.mx/registro/,52,0,0
1621218371235,4538,Petición HTTP,200,OK,Pruebas UAGRO 1-73,text,true,,5406,541,172,172,https://www.pruebavotaciones.uagro.mx/registro/,3922,0,67
1621218371235,3922,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-73,text,true,,616,131,172,172,http://www.pruebavotaciones.uagro.mx/,3922,0,67
1621218375158,510,Petición HTTP-1,302,Found,Pruebas UAGRO 1-73,text,true,,227,131,172,172,https://www.pruebavotaciones.uagro.mx/,510,0,461
1621218375668,52,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-73,text,true,,634,139,172,172,https://www.pruebavotaciones.uagro.mx/registro,52,0,0
1621218375720,53,Petición HTTP-3,200,OK,Pruebas UAGRO 1-73,text,true,,3929,140,172,172,https://www.pruebavotaciones.uagro.mx/registro/,53,0,0
1621218371261,4513,Petición HTTP,200,OK,Pruebas UAGRO 1-74,text,true,,5406,541,172,172,https://www.pruebavotaciones.uagro.mx/registro/,3897,0,63
1621218371261,3897,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-74,text,true,,616,131,172,172,http://www.pruebavotaciones.uagro.mx/,3897,0,63
1621218375158,510,Petición HTTP-1,302,Found,Pruebas UAGRO 1-74,text,true,,227,131,172,172,https://www.pruebavotaciones.uagro.mx/,510,0,461
1621218375668,52,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-74,text,true,,634,139,172,172,https://www.pruebavotaciones.uagro.mx/registro,52,0,0
1621218375720,54,Petición HTTP-3,200,OK,Pruebas UAGRO 1-74,text,true,,3929,140,172,172,https://www.pruebavotaciones.uagro.mx/registro/,54,0,0
1621218371320,4462,Petición HTTP,200,OK,Pruebas UAGRO 1-76,text,true,,5406,541,172,172,https://www.pruebavotaciones.uagro.mx/registro/,3840,0,50
1621218371202,4580,Petición HTTP,200,OK,Pruebas UAGRO 1-72,text,true,,5406,541,172,172,https://www.pruebavotaciones.uagro.mx/registro/,3957,0,55
1621218371320,3840,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-76,text,true,,616,131,172,172,http://www.pruebavotaciones.uagro.mx/,3840,0,50
1621218371202,3957,Petición HTTP-0,301,Moved Permanently,Pruebas UAGRO 1-72,text,true,,616,131,172,172,http://www.pruebavotaciones.uagro.mx/,3957,0,55
1621218375160,525,Petición HTTP-1,302,Found,Pruebas UAGRO 1-76,text,true,,227,131,172,172,https://www.pruebavotaciones.uagro.mx/,525,0,471
1621218375160,525,Petición HTTP-1,302,Found,Pruebas UAGRO 1-72,text,true,,227,131,172,172,https://www.pruebavotaciones.uagro.mx/,525,0,475
1621218375685,46,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-76,text,true,,634,139,172,172,https://www.pruebavotaciones.uagro.mx/registro,46,0,0
1621218375685,46,Petición HTTP-2,301,Moved Permanently,Pruebas UAGRO 1-72,text,true,,634,139,172,172,https://www.pruebavotaciones.uagro.mx/registro,46,0,0
1621218375731,51,Petición HTTP-3,200,OK,Pruebas UAGRO 1-76,text,true,,3929,140,172,172,https://www.pruebavotaciones.uagro.mx/registro/,51,0,0
1621218375731,51,Petición HTTP-3,200,OK,Pruebas UAGRO 1-72,text,true,,3929,140,172,172,https://www.pruebavotaciones.uagro.mx/registro/,51,0,0
